	original_question	original_answer	translated_question	translated_answer	percent_replaced	spanish_vocab	category
34	Por how ¿mucho?	up sobre un percentage punto	By how much?	up over a percentage point	60.0	['punto', 'un', 'sobre']	1

35	If Me gusta el hotdog donde debería I ¿ir?	Mount Horeb Museo de mostaza	If I like hotdog where should I go?	Mount Horeb Mustard Museum	75.0	['mostaza', 'horeb', 'de', 'museo']	2

36	how much were the watermelons that he found?	$1.2 per kg	how much were the watermelons that he found?	$1.2 per kg	0.0	[]	0

37	qué hizo the girl querer do?	climb a árbol.	what did the girl want to do?	climb a tree.	66.67	['árbol', 'a']	1

38	Qué predicción ¿Halley? ¿hacer?	El cometa aparecería 1758	What prediction did Halley make?	The comet would appear 1758	100.0	['aparecería', 'cometa', 'el', '1758']	2

39	What mostly surrounds it?	the Malaysian state of Sarawak	What mostly surrounds it?	the Malaysian state of Sarawak	0.0	[]	0

40	How ¿Mucho menos?	6.5 horas a noche.	How much less?	6.5 hours a night.	50.0	['horas', 'noche']	1

41	Qué tenía ¿Ella olvidó?	the pequeño llave de oro	What had she forgotten?	the little gold key	75.0	['llave', 'pequeño', 'de', 'oro']	2

42	What is it?	a type of tornillo head	What is it?	a type of screw head	20.0	['tornillo']	0

43	¿Qué dijo Jamie? was a privilege?	Ser invitado to cook for such un important grupo de gente	What did Jamie say was a privilege?	To be invited to cook for such an important group of people	58.33	['grupo', 'ser', 'un', 'de', 'invitado', 'gente']	1

44	Qué método ¿él? ¿usar?	sistema de pájaro nocturno calls	What method did he use?	system of night-bird calls	75.0	['nocturno', 'pájaro', 'sistema', 'de']	2

45	who does not gets angry ?	a gentleman t	who does not gets angry ?	a gentleman t	0.0	[]	0

46	What es the distance entre la tierra y Marte?	33 millón miles	What is the distance between the earth and mars?	33 million miles	66.67	['33', 'millón']	1

47	Qué hecho him bien conocido?	he sin montar un Cleveland vecinos puerta, liberando tres women y Una niña que policía say fueron retenidos rehén for years	What made him well known?	he knocked down a Cleveland neighbor's door, freeing three women and a girl who police say were held hostage for years	76.19	['rehén', 'liberando', 'montar', 'retenidos', 'policía', 'tres', 'cleveland', 'un', 'vecinos', 'que', 'fueron', 'y', 'una', 'sin', 'puerta', 'niña']	2

48	What happened to the 7th?	it was forced to abort its landing	What happened to the 7th?	it was forced to abort its landing	0.0	[]	0

49	What is to Occidente y norte of Switzerland?	France hacia el oeste y Germany to the north	What is to the west and north of Switzerland?	France to the west and Germany to the north	44.44	['y', 'hacia', 'oeste', 'el']	1

50	Dónde es el salón de la fama?	Charlotte, Carolina del Norte	Where is the hall of fame?	Charlotte, North Carolina	100.0	['carolina', 'del', 'charlotte', 'norte']	2

51	what is the oficial nombre of the country?	Kingdom of Morocco	what is the official name of the country?	Kingdom of Morocco	0.0	[]	0

52	Donde estaba she?	por his cabecera	Where was she?	by his bedside	66.67	['cabecera', 'por']	1

53	Qué ¿Puede sesgar un medio?	By a Pequeño número de valores extremadamente altos o bajos.	What can skew a mean?	By a small number of extremely high or low values.	90.0	['bajos', 'a', 'extremadamente', 'pequeño', 'número', 'o', 'de', 'valores', 'altos']	2

54	what is a recording act recordado por?	"by its ""number ones"""	what is a recording act remembered by?	"by its ""number ones"""	0.0	[]	0

55	Qué era her concern?	If ellos eran not volver a casa	What was her concern?	If they were not coming home	66.67	['eran', 'a', 'ellos', 'casa', 'volver']	1

56	Qué es ¿eso?	Maorí pronunciation de el inglés nombre.	What is that?	Māori pronunciation of the English name.	83.33	['nombre', 'maorí', 'inglés', 'el', 'de']	2

57	What does ella think?	People may hablar to un perro cuando they wouldn't like to talk to another humano	What does she think?	People may talk to a dog when they wouldn't like to talk to another human	33.33	['perro', 'hablar', 'humano', 'cuando', 'un']	0

58	Qué is this artículo ¿acerca de?	The Washington Correo	What is this article about?	The Washington Post	66.67	['correo', 'washington']	1

59	Cómo es el soil ¿mejorado?	compost hecho from alimento desperdiciar	How is the soil enhanced?	compost made from food waste	80.0	['hecho', 'desperdiciar', 'compost', 'alimento']	2

60	qué agreement happened before it's creation?	el Gaza–Jericho Agreement	what agreement happened before it's creation?	the Gaza–Jericho Agreement	33.33	['el']	0

61	Who else has a significado para ello?	El Food and Agriculture Organización	Who else has a meaning for it?	The Food and Agriculture Organization	40.0	['organización', 'el']	1

62	Donde estaba ¿Jacobo?	en el bote	Where was Jack?	in the boat	100.0	['bote', 'en', 'el']	2

63	what did Furia declare?	That they are como todos theorists.	what did Furley declare?	That they are like all theorists.	33.33	['como', 'todos']	0

64	What's the principal ¿punto?	the National Library of France el repositorio nacional de todo eso is published in France	What's the main point?	the National Library of France the national repository of all that is published in France	40.0	['eso', 'todo', 'de', 'el', 'repositorio', 'nacional']	1

65	¿Por qué creó el account?	a forma to Reciba las alertas de noticias de CNN en su teléfono	Why did he create the account?	a way to receive CNN's breaking news alerts on his phone	90.91	['reciba', 'su', 'teléfono', 'las', 'a', 'alertas', 'cnn', 'forma', 'de', 'en', 'noticias']	2

66	What did they do afterwards?	both men broke into a fusillade of exciting and admiring ejaculations	What did they do afterwards?	both men broke into a fusillade of exciting and admiring ejaculations	0.0	[]	0

67	Después how ¿largo?	trescientos years	After how long?	three hundred years	66.67	['trescientos']	1

68	Qué hacer a ¿Problema difícil?	si es La solución requiere recursos significativos	What make a problem difficult?	if its solution requires significant resources	100.0	['si', 'requiere', 'la', 'recursos', 'solución', 'es', 'significativos']	2

69	Y the title?	KAR KOMAK, THE ARQUERO	And the title?	KAR KOMAK, THE BOWMAN	25.0	['arquero']	0

70	how did they ¿Conocer?	it was en a mapa	how did they know to?	it was on a map	60.0	['en', 'a', 'mapa']	1

71	¿A qué va a ella? spend her tiempo ¿haciendo?	Científicamente y trabajar duro sus estudios.	What is she going to spend her time doing?	Scientifically and work hard on her studies.	100.0	['sus', 'estudios', 'y', 'científicamente', 'trabajar', 'duro']	2

72	who did the Pharaoh and Tua spend the night in el company of?	members of the Court	who did the Pharaoh and Tua spend the night in the company of?	members of the Court	0.0	[]	0

73	Who casi got lost ¿En una mala tormenta de nieve?	George y Edgar	Who almost got lost in a bad snowstorm?	George and Edgar	66.67	['y', 'edgar']	1

74	¿Por qué fue nombrada? ¿Medias?	Porque ella tenía pies blancos	Why was she named Socks?	because she had white feet	100.0	['tenía', 'ella', 'blancos', 'pies', 'porque']	2

75	Who went into the forest?	Henry Stuart and Gascoyne	Who went into the forest?	Henry Stuart and Gascoyne	25.0	['henry']	0

76	Qué do creatures sense antes de que los humanos lo hagan?	cambiar the weather	What do creatures sense before humans do?	changes in the weather	50.0	['cambiar']	1

77	¿Qué hizo Shakespeare? imagine?	Lady Macbeth tratando de limpiar Su conciencia frotando invisible mechones de sangre from her manos.	What did Shakespeare imagine?	Lady Macbeth trying to clean her conscience by rubbing invisible bloodstains from her hands.	78.57	['tratando', 'su', 'mechones', 'sangre', 'frotando', 'manos', 'limpiar', 'lady', 'de', 'conciencia', 'macbeth']	2

78	what types of work can it be applied to?	books, plays, movies, music, articles, fotografías, blogs, and websites	what types of work can it be applied to?	books, plays, movies, music, articles, photographs, blogs, and websites	11.11	['fotografías']	0

79	What style were ellos adentro?	acoustic confesiones and boogie resistente blues,	What style were they in?	acoustic confessions and rugged boogie blues,	50.0	['confesiones', 'boogie', 'resistente']	1

80	Que estaba en el carruaje?	dos de a nosotros	Who was in the carriage?	two of us	100.0	['dos', 'nosotros', 'a', 'de']	2

81	What es he known for?	a human derecho crusader,	What is he known for?	a human rights crusader,	25.0	['derecho']	0

82	Where did el vive?	a small pueblo en the mar	Where did he live?	a small village on the sea	50.0	['en', 'pueblo', 'mar']	1

83	cual trip was ¿Más rápido, Nagasaki o Manila?	el trip a Manila	which trip was faster, Nagasaki, or Manila?	the trip to Manila	75.0	['a', 'el', 'manila']	2

84	How long did ella sleep?	until late afternoon.	How long did she sleep?	until late afternoon.	0.0	[]	0

85	Que era he wearing?	abrigo y cloth for socks	What was he wearing?	overcoat and cloth for socks	40.0	['y', 'abrigo']	1

86	Cuando ¿Se llevaron a cabo los crímenes?	entre 2007 y 2010.	When did the the crimes take place?	between 2007 and 2010.	75.0	['y', '2007', 'entre']	2

87	Who inspires us the most?	a bien teacher.	Who inspires us the most?	a good teacher.	33.33	['bien']	0

88	How far were los hombres de Albany?	eight or nueve millas	How far were the men from Albany?	eight or nine miles	50.0	['nueve', 'millas']	1

89	Que would ¿Ha deslumbrado con eso?	uno de los jailers	Who would he have dazzled with it?	one of the jailers	75.0	['uno', 'los', 'de']	2

90	Who hace the leader report to?	the Secretary of Salud and Human Services.	Who does the leader report to?	the Secretary of Health and Human Services.	14.29	['salud']	0

91	cómo many hicieron reciclar ?	cerca de nueve tons	how many did they recycle ?	nearly nine tons	66.67	['nueve', 'cerca', 'de']	1

92	Qué acerca de 2008?	el Ruso -georgiano Guerra	What about 2008?	the Russo–Georgian War	100.0	['georgiano', 'guerra', 'ruso', 'el']	2

93	What was the exhibition called?	"""Hey-Ya (Let's Go!): Arab Women in Sport"""	What was the exhibition called?	"""Hey-Ya (Let's Go!): Arab Women in Sport"""	0.0	[]	0

94	What other Park tiene they ya creado?	Altura Park	What other park have they already created?	High Line Park	66.67	['altura']	1

95	Que hizo él ¿hacer?	Él Miró a John	What did he do?	He looked at John	100.0	['miró', 'john', 'él', 'a']	2

96	Who thought he was old enough?	the Berlin Burghers	Who thought he was old enough?	the Berlin Burghers	0.0	[]	0

97	How many Las familias tienen ella evaluated?	más que 10,000 adopted children	How many families has she evaluated?	more than 10,000 adopted children	60.0	['más', '10000', 'que']	1

98	Qué hizo people llamarla?	la bruja de la pared Street.	What did people call her?	the Witch of Wall Street.	80.0	['la', 'pared', 'de', 'bruja']	2

99	what hicieron do in books ?	leapt into another	what did they do in books ?	leapt into another	0.0	[]	0

100	Why hizo celebridades tweet?	to express su personal loss	Why did celebrities tweet?	to express their personal loss	40.0	['personal', 'su']	1

101	qué could be escuchó el a la mañana siguiente?	el médico Parting DogCart	what could be heard the next morning?	the doctor's departing dogcart	100.0	['médico', 'parting', 'el', 'dogcart']	2

102	what does he say about english	"""English is no longer mysterious to the Chino people. They can use the language in una forma flexible de acuerdo a their own experiences"""	what does he say about english	"""English is no longer mysterious to the Chinese people. They can use the language in a flexible way according to their own experiences"""	26.09	['a', 'flexible', 'forma', 'chino', 'de', 'una', 'acuerdo']	0

103	Was el gentleman better una vez el episode passed?	he era débil	Was the gentleman better once the episode passed?	he was weak	66.67	['débil', 'era']	1

104	Que película era the persona famous ¿para?	El Sexto Sentido	What movie was the person famous for?	The Sixth Sense	100.0	['sexto', 'el', 'sentido']	2

105	When was it created?	Agosto 2, 2006	When was it created?	August 2, 2006	33.33	['agosto']	0

106	What es ¿Netspeak?	idioma de computerized communication	What is Netspeak?	language of computerized communication	50.0	['idioma', 'de']	1

107	cómo lejos lejos estaba stratton de Henry?	menos que veinte miles	how far away was Stratton from Henry?	less than twenty miles	75.0	['veinte', 'menos', 'que']	2

108	What is his main point?	"""independence,"" is a natural state of affairs."	What is his main point?	"""independence,"" is a natural state of affairs."	0.0	[]	0

109	Where hizo he llevar ¿su?	A través de el grounds.	Where did he carry her?	Through the grounds.	66.67	['través', 'a', 'el', 'de']	1

110	Que lo envió?	la dama Madera de rótula	Who sent it?	the Lady Rotherwood	100.0	['dama', 'rótula', 'la', 'de', 'madera']	2

111	What happened to her parents?	they passed lejos	What happened to her parents?	they passed away	33.33	['lejos']	0

112	What did Congress quiero hacer por africano Americans?	upgrade sus derechos	What did Congress want to do for African Americans?	upgrade their rights	66.67	['derechos', 'sus']	1

113	Era todos ¿feliz?	Sí ellos eran.	Was everyone happy?	yes they were.	100.0	['ellos', 'sí', 'eran']	2

114	what did adam do when he saw her?	put afuera his hand to su	what did adam do when he saw her?	put out his hand to her	33.33	['afuera', 'su']	0

115	Cuando lo hará it be?	en Julio 2	When will it be?	on July 2	66.67	['en', 'julio']	1

116	¿Cuáles son los Personas que tejen cosas wearing?	de colores nightcaps y pilaras	What are the people who weave things wearing?	colored nightcaps and corduroys	75.0	['y', 'pilaras', 'colores', 'de']	2

117	Where was Harold running?	into his hermano room	Where was Harold running?	into his brother's room	25.0	['hermano']	0

118	Why does Ella tiene todos esos piggy things?	ella is a princesa de the piggies	Why does she have all those piggy things?	she is a princess of the piggies	42.86	['ella', 'princesa', 'de']	1

119	¿Cuál es su nombre propio?	La universidad de Cambridge	what is it's proper name?	The University of Cambridge	100.0	['la', 'universidad', 'cambridge', 'de']	2

120	who rode him?	Jockey Mario Gutierrez,.	who rode him?	Jockey Mario Gutierrez,.	33.33	['mario']	0

121	How mucho hizo he ¿dar?	most of su cumpleaños money	How much did he give?	most of his birthday money	40.0	['su', 'cumpleaños']	1

122	Con qué ocurriendo?	el Movimiento solidario	With what occuring?	the Solidarity movement	100.0	['solidario', 'movimiento', 'el']	2

123	What type of companies does it attract now?	biotecnología and IT companies	What type of companies does it attract now?	biotech and IT companies	25.0	['biotecnología']	0

124	Mainly ¿De dónde?	principalmente from Israel	Mainly where from?	mostly from Israel	66.67	['israel', 'principalmente']	1

125	Cómo hacer gente tratar a él ¿ahora?	como Un tesoro vivo	How do people treat him now?	like a living treasure	100.0	['tesoro', 'vivo', 'un', 'como']	2

126	Qué did Jordan arrive on?	on board the _Tyee_	What did Jordan arrive on?	on board the _Tyee_	0.0	[]	0

127	what era the el operación para?	liberation de ocupado northwestern Europa	what was the the operation for?	liberation of German-occupied northwestern Europe	60.0	['europa', 'de', 'ocupado']	1

128	Que él piensa de como el mejor ¿Día en su vida?	eso primero día on el kart	What does he think of as the best day in his life?	that first day on the go-kart	83.33	['día', 'eso', 'el', 'kart', 'primero']	2

129	how did she describe jiguro school?	"""old-fashioned and sexist about belts and ranks"""	how did she describe jiguro's school?	"""old-fashioned and sexist about belts and ranks"""	0.0	[]	0

130	Why was he en su camino al río?	for una bebida of agua	Why was he on his way to the river?	for a drink of water	60.0	['bebida', 'agua', 'una']	1

131	Which amable de arte se muestra ahí?	Francés Impresionista arte,	Which kind of art is shown there?	French Impressionist art,	100.0	['impresionista', 'arte', 'francés']	2

132	Y one more?	El Time Machine	And one more?	The Time Machine	33.33	['el']	0

133	What happened en the 1960	the Libertad de expresión Movement	What happened in the 1960s	the Free Speech Movement	50.0	['expresión', 'libertad', 'de']	1

134	Qué Sucede si no se libera ¿mañana?	Él será liberado next semana	What happens if it's not released tomorrow?	It will be released next week	83.33	['liberado', 'será', 'semana', 'él']	2

135	por qué did these games ganar a spot in the Guiness Book of World Records?	the most watched Olympics in history	why did these games earn a spot in the Guiness Book of World Records?	the most watched Olympics in history	0.0	[]	0

136	Para how ¿largo?.	Para un hour or so	For how long?.	For an hour or so	40.0	['para', 'un']	1

137	Qué año ella se convirtió ¿famoso?	Sometime en el tarde Década de 1990	What year did she become famous?	Sometime in the late 1990s	80.0	['1990', 'tarde', 'década', 'el', 'de', 'en']	2

138	What did he do in Greenland?	he explored Greenland, mapping parts of it	What did he do in Greenland?	he explored Greenland, mapping parts of it	0.0	[]	0

139	Who es Fernanda Romero?	a soap opera actriz	Who is Fernanda Romero?	a soap opera actress	50.0	['actriz', 'a']	1

140	Qué es el inglés traducción para Al-Qaeda?	"""La base"", ""la base"" or ""El Fundamen"	What is the English translation for Al-Qaeda?	"""The Base"", ""The Foundation"" or ""The Fundamen"	85.71	['la', 'base', 'fundamen', 'el']	2

141	Is él large?	largest company in Africa	Is it large?	largest company in Africa	0.0	[]	0

142	How mucha vida silvestre they see?	2 ositos and 1 buffalo	How much wildlife did they see?	2 bears and 1 buffalo	60.0	['2', '1', 'ositos']	1

143	situado dónde ?	Norte Este Inglaterra	located where ?	North East England	100.0	['este', 'inglaterra', 'norte']	2

144	qué is the official name?	the Republic of Angola	what is the official name?	the Republic of Angola	0.0	[]	0

145	Why does Martín piensa should do that?	El pudo make more dinero	Why does Martin think he should do that?	he could make more money	60.0	['dinero', 'pudo', 'el']	1

146	When había ido a Elspeth a ver ¿Grizel?	después la publicación de that libro,	When had Elspeth gone to see Grizel?	after the publication of that book,	83.33	['publicación', 'libro', 'después', 'la', 'de']	2

147	Why is its nature debated?	coreano genetic origins are controversial	Why is its nature debated?	Korean genetic origins are controversial	20.0	['coreano']	0

148	What el nombre era lo sabía por until 2012?	PubMed del Reino Unido Central	What name was it known by until 2012?	UK PubMed Central	66.67	['pubmed', 'del', 'unido', 'reino']	1

149	además no casarse, qué demás ¿Grizel no permitiría?	Para él a besarse	besides not marry, what else would Grizel not allow?	For him to kiss her	100.0	['para', 'él', 'a', 'besarse']	2

150	what does él look like?	blue British police box	what does it look like?	blue British police box	0.0	[]	0

151	Que era planificación to get ¿casado?	Carlos de Biedma.	Who was planning to get married?	Carlos de Biedma.	66.67	['biedma', 'de']	1

152	¿Por qué lo hace? approve?	Porque es fantástico	why does he approve?	Because it's fantastic	100.0	['es', 'porque', 'fantástico']	2

153	Por qué tenía Dea Flavia been startled?	she was De repente despertó from a dream	Why had Dea Flavia been startled?	she was suddenly awakened from a dream	28.57	['repente', 'de', 'despertó']	0

154	What type de El rango es un genus?	A rango taxonómico	What type of rank is a genus?	A taxonomic rank	66.67	['taxonómico', 'rango']	1

155	Que ellos llevar fotos ¿de?	Familias, amigos y favorito lugares	who do they take pictures of?	families, friends and favorite places	100.0	['familias', 'favorito', 'lugares', 'amigos', 'y']	2

156	What siglos were they	1 to 8	What ages were they	1 to 8	33.33	['8']	0

157	Who were el main people Viviendo allí en that time?	the Gente de Tongva	Who were the main people living there at that time?	the Tongva people	66.67	['gente', 'de', 'tongva']	1

158	Qué tipo estaba en el 20 ¿siglo?	El sistema de transcripción en el habla inglesa mundo.	What type was it in the 20th century?	The system of transcription in the English-speaking world.	100.0	['habla', 'inglesa', 'transcripción', 'el', 'de', 'en', 'mundo', 'sistema']	2

159	How would you say eso in Mongolian?	Yehe Yuan Ulus[a]	How would you say that in Mongolian?	Yehe Yuan Ulus[a]	33.33	['yehe']	0

160	What era wrong with ¿la ciudad próxima?	fue very cold	What was wrong with the next town?	it was very cold	50.0	['fue']	1

161	Cómo hizo él conseguir es ¿nombre?	Él se nombra para Heinrich Rudolf Hertz	How did it get its name?	It is named for Heinrich Rudolf Hertz	100.0	['para', 'rudolf', 'se', 'heinrich', 'nombra', 'él', 'hertz']	2

162	What did Williams say after the match?	"""I played well -- I played really well"""	What did Williams say after the match?	"""I played well -- I played really well"""	0.0	[]	0

163	Qué will ella be doing on her ¿aniversario?	attending a presidential debate	What will she be doing on her anniversary?	attending a presidential debate	50.0	['debate', 'a']	1

164	¿Qué tenía ella?	a pedazo de trapo	What did she have?	a piece of rag	100.0	['a', 'de', 'pedazo', 'trapo']	2

165	Where did Peter Rabbit reside?	The Old Brez-parch.	Where did Peter Rabbit reside?	The Old Briar-patch.	33.33	['brezparch']	0

166	Era George found out?	It seems El era pero it was nunca stated explicitly.	Was george found out?	It seems he was but it was never stated explicitly.	40.0	['era', 'nunca', 'pero', 'el']	1

167	¿Hay cualquier geográfico importante características ¿cercano?	La cordillera costera venezolana	Are there any major geographical features nearby?	the Venezuelan coastal mountain range	100.0	['la', 'costera', 'venezolana', 'cordillera']	2

168	is switchover ¿completo?	Yes, in muchos industrial countries.	is switchover complete?	Yes, in many industrial countries.	20.0	['muchos']	0

169	How hizo el coaches react to Brittany want ser una animadora?	Her school's entrenadores eran menos que enthusiastic	How did the coaches react to Brittany want to be a cheerleader?	Her school's coaches were less than enthusiastic	57.14	['entrenadores', 'menos', 'que', 'eran']	1

170	Qué demás hace Juliana como ¿haciendo?	A Juliana le gusta visitar museos	What else does Juliana like doing?	Juliana likes visiting museums	100.0	['a', 'museos', 'gusta', 'le', 'juliana', 'visitar']	2

171	What comment did she hacer of Diane?	"She started ""not listening a mi pero suddenly listening to herself."""	What comment did she make of Diane?	"She started ""not listening to me but suddenly listening to herself."""	27.27	['a', 'pero', 'mi']	0

172	Donde they sit ¿abajo?	in el tono	Where did they sit down?	in the shade	66.67	['tono', 'el']	1

173	Que ¿Eran?	Estados Unidos marshalls	Who were they?	United States marshals	100.0	['unidos', 'marshalls', 'estados']	2

174	Why was Wendy's application rejected?	her personal life and finances were not estable	Why was Wendy's application rejected?	her personal life and finances were not stable	12.5	['estable']	0

175	Qué hacer we call it ¿ahora?	Ahora es Portuguese Rock	What do we call it now?	Now it is Portuguese Rock	60.0	['es', 'ahora']	1

176	Qué sucedió en 2009?	Los hombres fueron capturados	What happened in 2009?	men were captured	100.0	['capturados', 'los', 'hombres', 'fueron']	2

177	Was anyone else with ¿a ellos?	David and Dwight followed behind.	Was anyone else with them?	David and Dwight followed behind.	20.0	['david']	0

178	What does RD ¿representar?	Registered nutricionistas dietistas	What does RD stand for?	Registered dietitian nutritionists	66.67	['nutricionistas', 'dietistas']	1

179	how grande es su económico ¿área?	14º más grande Exclusive Zona económica en el mundo.	how large is its economic area?	14th largest Exclusive Economic Zone in the world.	87.5	['más', '14º', 'zona', 'grande', 'el', 'en', 'mundo', 'económica']	2

180	What did she take out ¿próximo?	The special bottle of vanilla sauce.	What did she take out next?	The special bottle of vanilla sauce.	0.0	[]	0

181	What does Kate Moss hace por a ¿viviendo?	Ella es una supermodel	What does Kate Moss do for a living?	she's a supermodel	66.67	['es', 'ella', 'una']	1

182	Cuántos asientos ¿tener?	500 o más asiento	How many seats do they have?	500 or more seats	100.0	['500', 'más', 'asiento', 'o']	2

183	What hizo the think caused the issue?	the desire of investors to receive more money rather than produce more products	What did the think caused the issue?	the desire of investors to receive more money rather than produce more products	0.0	[]	0

184	What sucedió en 1362 y 1389?	conquistas in el Balkans	What happened in 1362 and 1389?	conquests in the Balkans	50.0	['conquistas', 'el']	1

185	Qué es su trabajo?	Seguridad Nacional Secretario	What is her job?	Homeland Security Secretary	100.0	['secretario', 'seguridad', 'nacional']	2

186	What almost occurred when Molly opened the door?	the door nearly broke	What almost occurred when Molly opened the door?	the door nearly broke	0.0	[]	0

187	What tiempo did ¿Él ve?	medio pasado eleven	What time did he see?	half past eleven	66.67	['pasado', 'medio']	1

188	Donde esta el sitting?	en la biblioteca	Where was he sitting?	in the library	100.0	['la', 'en', 'biblioteca']	2

189	Qué otro foods did people in the Lower Paleolítico collect?	seafood, eggs, nuts, and fruits	What other foods did people in the Lower Paleolithic collect?	seafood, eggs, nuts, and fruits	0.0	[]	0

190	What was el que lleva?	a long levita	What was he wearing?	a long frock-coat	66.67	['a', 'levita']	1

191	Cuando tenía ella ¿llegó?	la noche anterior	When had she arrived?	the preceding evening	100.0	['la', 'noche', 'anterior']	2

192	When they'd almost reached the house, what did they hear?	the crack of a firearm.	When they'd almost reached the house, what did they hear?	the crack of a firearm.	0.0	[]	0

193	Que congregado después the announcement?	Penn Estado students	Who congregated after the announcement?	Penn State students	66.67	['penn', 'estado']	1

